step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,project,device,input_dim,n_runs,save_results,seed,lr,num_classes,momentum,layers,dataset
49,0.9297119975090028,0.0006021590872619,0.8931900024414062,0.0033440853485378,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,0.0,1035,fmnist
49,0.942980009317398,0.00090650775074,0.8934899926185608,0.0036453897812411,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,0.0,1035_1035,fmnist
49,0.9527439951896668,0.0010567383610172,0.8928399980068207,0.0074730458868633,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,0.0,1035_1035_1035,fmnist
49,0.9663259983062744,0.0018807849668684,0.8829600036144256,0.0098915327515754,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,0.0,1035_1035_1035_1035_1035,fmnist
49,0.8784459888935089,0.0318687550832699,0.8465100049972534,0.0267914762943011,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,0.0,1035_1035_1035_1035_1035_1035_1035_1035_1035_1035,fmnist
49,0.8269871830940246,0.0100190943934021,0.7837999999523163,0.0061214405833211,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,,105_105,fmnist
49,0.7508333325386047,0.0494397079505392,0.725270003080368,0.0428316259848842,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,,11_11,fmnist
49,0.7969230711460114,0.0157874590349851,0.7684499979019165,0.0152326808555829,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,,21_21,fmnist
49,0.8236538529396057,0.006184816406037,0.7830699980258942,0.0149193762185426,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,,44_44,fmnist
49,0.5482051342725753,0.1400613371597973,0.5306900069117546,0.134958611059831,mlp-fmnist-sgd,0,784,10,True,42,0.01,10,,5_5,fmnist
